                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.74632,                0.36135,                 1.0577,                0.82451,                0.99856,                0.84643,                 0.6881,                0.84596,                0.66467,                 1.1531,               0.005809,               0.005809,               0.005809
                    130,                0.73845,                0.35984,                 1.0518,                0.82415,                 0.9986,                0.84226,                0.68355,                0.84507,                0.65908,                 1.1464,               0.005776,               0.005776,               0.005776
                    131,                0.72325,                 0.3526,                  1.036,                0.82286,                 0.9987,                0.84856,                0.68916,                0.84913,                0.66439,                 1.1444,               0.005743,               0.005743,               0.005743
                    132,                0.71963,                0.34787,                 1.0419,                0.82523,                0.99837,                0.84509,                0.68224,                 0.8468,                 0.6817,                 1.1374,                0.00571,                0.00571,                0.00571
                    133,                0.72911,                0.35224,                 1.0434,                0.82457,                0.99842,                 0.8435,                0.68127,                0.84609,                0.67652,                 1.1433,               0.005677,               0.005677,               0.005677
                    134,                0.72702,                0.34957,                 1.0482,                0.82225,                  0.998,                0.83704,                0.67669,                0.85008,                0.66257,                 1.1446,               0.005644,               0.005644,               0.005644
                    135,                0.72495,                0.34608,                 1.0427,                0.81969,                0.99804,                0.84373,                0.68309,                0.84886,                0.65828,                 1.1401,               0.005611,               0.005611,               0.005611
                    136,                 0.7221,                0.35237,                 1.0419,                0.81967,                  0.996,                0.84454,                0.68481,                0.85014,                0.65606,                 1.1392,               0.005578,               0.005578,               0.005578
                    137,                0.72047,                0.34589,                 1.0375,                0.82288,                0.98133,                0.84029,                0.68121,                 0.8524,                0.66138,                 1.1418,               0.005545,               0.005545,               0.005545
                    138,                 0.7165,                0.35008,                 1.0385,                0.82233,                0.98133,                0.83862,                0.68151,                0.85157,                0.66049,                 1.1396,               0.005512,               0.005512,               0.005512
                    139,                0.71338,                0.34843,                 1.0376,                0.82049,                  0.998,                0.83888,                0.67932,                0.85197,                0.67324,                 1.1431,               0.005479,               0.005479,               0.005479
                    140,                0.72377,                0.34386,                 1.0408,                0.82161,                  0.998,                0.83643,                 0.6773,                0.85381,                0.68587,                 1.1465,               0.005446,               0.005446,               0.005446
                    141,                0.71486,                0.35181,                 1.0452,                0.82197,                  0.998,                0.84044,                0.68313,                0.85551,                0.68549,                 1.1557,               0.005413,               0.005413,               0.005413
                    142,                0.71442,                 0.3412,                 1.0372,                0.82393,                  0.998,                0.84216,                0.68436,                0.85123,                0.69611,                 1.1548,                0.00538,                0.00538,                0.00538
                    143,                0.71082,                0.34664,                 1.0375,                0.82228,                  0.998,                 0.8393,                0.68232,                0.85937,                0.70179,                 1.1603,               0.005347,               0.005347,               0.005347
                    144,                0.72065,                0.34851,                  1.044,                0.82271,                  0.998,                 0.8371,                0.67686,                0.86118,                0.68921,                 1.1621,               0.005314,               0.005314,               0.005314
                    145,                0.69506,                0.34122,                 1.0318,                0.82156,                0.99639,                0.83361,                0.67736,                0.86083,                0.67859,                 1.1628,               0.005281,               0.005281,               0.005281
                    146,                0.70209,                0.33745,                 1.0386,                 0.8204,                0.99688,                0.84035,                0.68374,                 0.8613,                0.67481,                  1.164,               0.005248,               0.005248,               0.005248
                    147,                0.71499,                0.34659,                 1.0464,                0.82449,                0.99809,                 0.8402,                0.68392,                0.86204,                0.66666,                 1.1643,               0.005215,               0.005215,               0.005215
                    148,                0.69288,                 0.3362,                  1.033,                0.82578,                  0.998,                0.83845,                0.67968,                0.86306,                0.67291,                 1.1646,               0.005182,               0.005182,               0.005182
                    149,                0.69475,                0.33532,                 1.0333,                 0.8265,                  0.998,                0.83655,                0.67726,                 0.8697,                0.68705,                 1.1717,               0.005149,               0.005149,               0.005149
                    150,                0.70199,                0.33871,                 1.0298,                0.82655,                  0.998,                0.84001,                 0.6779,                0.86908,                0.68299,                 1.1717,               0.005116,               0.005116,               0.005116
                    151,                0.69762,                0.34038,                 1.0285,                0.82468,                  0.998,                0.84263,                0.67932,                0.86434,                0.68355,                 1.1637,               0.005083,               0.005083,               0.005083
                    152,                0.69582,                0.33148,                 1.0279,                0.82252,                  0.998,                 0.8439,                0.67929,                0.86164,                0.68522,                 1.1578,                0.00505,                0.00505,                0.00505
                    153,                0.69616,                0.33384,                 1.0295,                0.82397,                0.98133,                0.83633,                0.67384,                0.86115,                0.68824,                 1.1571,               0.005017,               0.005017,               0.005017
                    154,                 0.6963,                0.33585,                 1.0273,                0.82611,                0.99862,                0.84384,                0.68197,                0.85963,                0.68513,                 1.1553,               0.004984,               0.004984,               0.004984
                    155,                0.69226,                0.33199,                 1.0209,                0.82792,                  0.998,                0.84409,                0.68246,                0.85703,                0.68133,                 1.1528,               0.004951,               0.004951,               0.004951
